Ref,Val,Package,PosX,PosY,Rot,Side
"C1","0.1uF","C_0603_1608Metric",273.913600,-220.522800,180.000000,top
"C2","0.1uF","C_0603_1608Metric",287.274000,-220.472000,0.000000,top
"C3","0.1uF","C_0603_1608Metric",274.545000,-239.080000,180.000000,top
"C4","0.1uF","C_0603_1608Metric",286.885000,-239.080000,0.000000,top
"C5","0.1uF","C_0603_1608Metric",236.690000,-293.674000,0.000000,top
"C6","0.1uF","C_0603_1608Metric",224.355000,-293.684000,180.000000,top
"C7","0.1uF","C_0603_1608Metric",274.292000,-293.624000,0.000000,top
"C8","0.1uF","C_0603_1608Metric",261.912000,-293.654000,180.000000,top
"C9","0.1uF","C_0603_1608Metric",192.504000,-293.604000,0.000000,top
"C10","0.1uF","C_0603_1608Metric",180.354000,-293.564000,180.000000,top
"C11","10uF","CP_Elec_4x5.4",278.704000,-202.730000,0.000000,top
"C12","22uF","CP_Elec_4x5.4",278.704000,-189.230000,180.000000,top
"C13","10uF","CP_Elec_4x5.4",277.650500,-148.938000,30.000000,top
"C14","22uF","CP_Elec_4x5.4",270.900500,-137.246700,-150.000000,top
"C15","10uF","CP_Elec_4x5.4",249.842000,-102.879500,60.000000,top
"C16","22uF","CP_Elec_4x5.4",238.150700,-96.129500,-120.000000,top
"C17","10uF","CP_Elec_4x5.4",202.730000,-76.896000,90.000000,top
"C18","22uF","CP_Elec_4x5.4",189.230000,-76.896000,-90.000000,top
"C19","10uF","CP_Elec_4x5.4",148.938000,-77.949500,120.000000,top
"C20","22uF","CP_Elec_4x5.4",137.246700,-84.699500,-60.000000,top
"C21","10uF","CP_Elec_4x5.4",102.879500,-105.758000,150.000000,top
"C22","22uF","CP_Elec_4x5.4",96.129500,-117.449300,-30.000000,top
"C23","10uF","CP_Elec_4x5.4",76.896000,-152.870000,180.000000,top
"C24","22uF","CP_Elec_4x5.4",76.896000,-166.370000,0.000000,top
"C25","10uF","CP_Elec_4x5.4",77.949500,-206.662000,-150.000000,top
"C26","22uF","CP_Elec_4x5.4",84.699500,-218.353300,30.000000,top
"C27","10uF","CP_Elec_4x5.4",105.758000,-252.720500,-120.000000,top
"C28","22uF","CP_Elec_4x5.4",117.449300,-259.470500,60.000000,top
"C29","10uF","CP_Elec_4x5.4",152.870000,-278.704000,-90.000000,top
"C30","22uF","CP_Elec_4x5.4",166.370000,-278.704000,90.000000,top
"C31","10uF","CP_Elec_4x5.4",206.662000,-277.650500,-60.000000,top
"C32","22uF","CP_Elec_4x5.4",218.353300,-270.900500,120.000000,top
"C33","10uF","CP_Elec_4x5.4",252.720500,-249.842000,-30.000000,top
"C34","22uF","CP_Elec_4x5.4",259.470500,-238.150700,150.000000,top
"J1","Barrel_Jack","DCJACK_2PIN_HIGHCURRENT",304.600000,-116.459000,-90.000000,top
"J2","Conn_01x04","JST_SH_SM04B-SRSS-TB_1x04-1MP_P1.00mm_Horizontal",301.500000,-239.516000,90.000000,top
"J3","Conn_01x04","JST_SH_SM04B-SRSS-TB_1x04-1MP_P1.00mm_Horizontal",301.500000,-230.505000,90.000000,top
"P1","CONN15","HEADER_TOP",265.474000,-177.800000,90.000000,top
"P2","CONN15","HEADER_TOP",253.727900,-133.963000,120.000000,top
"P3","CONN15","HEADER_TOP",221.637000,-101.872100,150.000000,top
"P4","CONN15","HEADER_TOP",177.800000,-90.126000,180.000000,top
"P5","CONN15","HEADER_TOP",133.963000,-101.872100,-150.000000,top
"P6","CONN15","HEADER_TOP",101.872100,-133.963000,-120.000000,top
"P7","CONN15","HEADER_TOP",90.126000,-177.800000,-90.000000,top
"P8","CONN15","HEADER_TOP",101.872100,-221.637000,-60.000000,top
"P9","CONN15","HEADER_TOP",133.963000,-253.727900,-30.000000,top
"P10","CONN15","HEADER_TOP",177.800000,-265.474000,0.000000,top
"P11","CONN15","HEADER_TOP",221.637000,-253.727900,30.000000,top
"P12","CONN15","HEADER_TOP",253.727900,-221.637000,60.000000,top
"Q2","MOSFET_NCHAN","SOT-23-3",291.205500,-169.164000,180.000000,top
"R1","200","R_0805_2012Metric",293.219500,-172.466000,0.000000,top
"R2","20k","R_0805_2012Metric",295.148000,-169.164000,-90.000000,top
"R3","300","R_1206_3216Metric",278.450000,-184.826000,180.000000,top
"R4","300","R_1206_3216Metric",268.478500,-133.559700,-150.000000,top
"R5","300","R_1206_3216Metric",234.209700,-94.147500,-120.000000,top
"R6","300","R_1206_3216Metric",184.826000,-77.150000,-90.000000,top
"R7","300","R_1206_3216Metric",133.559700,-87.121500,-60.000000,top
"R8","300","R_1206_3216Metric",94.147500,-121.390300,-30.000000,top
"R9","300","R_1206_3216Metric",77.150000,-170.774000,0.000000,top
"R10","300","R_1206_3216Metric",87.121500,-222.040300,30.000000,top
"R11","300","R_1206_3216Metric",121.390300,-261.452500,60.000000,top
"R12","300","R_1206_3216Metric",170.774000,-278.450000,90.000000,top
"R13","300","R_1206_3216Metric",222.040300,-268.478500,120.000000,top
"R14","300","R_1206_3216Metric",261.452500,-234.209700,150.000000,top
"SW1","SW_SPDT","slide_switch",299.500000,-86.233000,90.000000,top
"U1","TXB0108PW","TSSOP-20_4.4x6.5mm_P0.65mm",280.855500,-222.799000,0.000000,top
"U2","TXB0108PW","TSSOP-20_4.4x6.5mm_P0.65mm",280.740900,-241.339800,0.000000,top
"U3","TXB0108PW","TSSOP-20_4.4x6.5mm_P0.65mm",230.539600,-291.417600,180.000000,top
"U4","TXB0108PW","TSSOP-20_4.4x6.5mm_P0.65mm",267.982600,-291.366800,180.000000,top
"U5","TXB0108PW","TSSOP-20_4.4x6.5mm_P0.65mm",186.501700,-291.295800,180.000000,top
"U6","AZ1084-5.0","TO-252",281.659000,-196.003000,0.000000,top
"U7","AZ1084-5.0","TO-252",276.846100,-141.634700,30.000000,top
"U8","AZ1084-5.0","TO-252",245.493800,-96.956900,60.000000,top
"U9","AZ1084-5.0","TO-252",196.003000,-73.941000,90.000000,top
"U10","AZ1084-5.0","TO-252",141.634700,-78.753900,120.000000,top
"U11","AZ1084-5.0","TO-252",96.956900,-110.106200,150.000000,top
"U12","AZ1084-5.0","TO-252",73.941000,-159.597000,180.000000,top
"U13","AZ1084-5.0","TO-252",78.753900,-213.965300,-150.000000,top
"U14","AZ1084-5.0","TO-252",110.106200,-258.643100,-120.000000,top
"U15","AZ1084-5.0","TO-252",159.597000,-281.659000,-90.000000,top
"U16","AZ1084-5.0","TO-252",213.965300,-276.846100,-60.000000,top
"U17","AZ1084-5.0","TO-252",258.643100,-245.493800,-30.000000,top
"U18","Teensy4.1","Teensy41",273.685000,-268.605000,180.000000,top
